disaster_type,disaster_name,pcode,Completely damaged (abs.),Partly damaged (abs.),Total damaged houses (abs.),total_damage_houses_0p25weight,Partly damaged (rel.),Completely damaged (rel.),Total damaged houses (rel.),total_damage_houses_0p25weight_perc,ratio_comp_part,Total # of houses,Wind speed,Distance to typhoon,rainfall,distance_first_impact,Slope,Elevation,ruggedness_stdev,Ruggedness,slope_stdev,Predicted damage class (1-5),Population,land_area,Population density,Poverty incidence,% strong roof type,% strong wall type,% skilled Agriculture/Forestry/Fishermen,Region,prov,Experience,Bicol region
Typhoon,Bopha,PH013306000,1,1,2,1.25,0.011127493,0.011127493,0.022254987,0.013909367,1,8986.749801,40,202.5835465,45,1223.383698,2.330233048,26.68550898,17.9381699,12.69606097,3.78537533,,35947,40.1383,895.568,0.1209,0.97889355,0.791426324,0.075583498,north luzon,0,3.210526316,0
Typhoon,Bopha,PH071201000,1,4,5,2,0.151802657,0.037950664,0.189753321,0.075901328,0.901153213,2634.999996,60,85.76089149,164,363.8375031,3.733728044,84.111339,15.01530487,21.66494405,3.28341986,,10562,34.552,305.6843,0.1594,0.917327766,0.591231733,0.058159393,central,0,1,0
Typhoon,Bopha,PH071209000,10,59,69,24.75,0.865705587,0.14672976,1.012435347,0.363156157,0.614635969,6815.250001,50,135.9619425,355.7809108,377.7557494,4.574230202,104.6833722,15.58791125,25.18423348,3.357315682,,27266,132.4184,205.903,0.4545,0.78459441,0.428936605,0.161806243,central,0,1,0
Typhoon,Bopha,PH071220000,1,1,2,1.25,0.027847396,0.027847396,0.055694793,0.034809245,1,3590.99997,60,96.61243323,150,348.2303781,6.965279449,235.209338,23.03313985,34.86754069,5.233835928,,14370,66.0103,217.6939,0.306,0.977943461,0.65268717,0.124756335,central,0,1,0
Typhoon,Bopha,PH071221000,1,2,3,1.5,0.044752741,0.022376371,0.067129112,0.033564556,0.978582138,4468.999977,50,116.6374402,213.0736781,336.5803989,9.940683555,410.4330374,31.38312326,51.33210442,6.890942345,,17883,79.0087,226.341,0.2961,0.91275,0.6345,0.138789438,central,0,1,0
Typhoon,Bopha,PH071226000,10,1,11,10.25,0.012921984,0.129219835,0.142141819,0.132450331,1.114814224,7738.749987,50,144.9371998,361,382.5998467,4.170917998,50.77059987,18.5799574,23.08426741,3.960873576,,30955,114.2146,271.0212,0.435,0.730344076,0.416783435,0.144984655,central,0,1,0
Typhoon,Bopha,PH071228000,1,15,16,4.75,0.359475166,0.023965011,0.383440177,0.113833803,0.753206117,4172.750004,60,85.68286666,157.6210742,357.6823715,4.540568182,49.04194902,17.20934656,23.94524364,3.794057179,,16681,31.5728,528.3299,0.193,0.838483146,0.566535654,0.07039722,central,0,1,0
Typhoon,Bopha,PH071230000,1,2,3,1.5,0.018589952,0.009294976,0.027884928,0.013942464,0.990874664,10758.50008,60,96.78203639,222.3622871,388.4351528,5.34653409,136.687622,20.5551849,29.62381044,4.362136983,,43041,119.227,361.0015,0.2198,0.950403226,0.528516727,0.096319189,central,0,1,0
Typhoon,Bopha,PH071243000,1,2,3,1.5,0.011945826,0.005972913,0.017918739,0.008959369,0.994097596,16742.24955,50,148.6344332,326.8132612,374.763273,3.116144935,49.78491312,15.24420523,17.62937739,3.104523074,,66963,179.9073,372.211,0.3635,0.805493274,0.549467489,0.137630844,central,0,1,0
Typhoon,Bopha,PH072202000,17,22,39,22.5,0.518287296,0.400494729,0.918782025,0.530066553,0.922417472,4244.749999,70,68.42341353,235.6578392,412.8563388,10.45363653,452.713259,33.65357967,59.21899602,6.763397191,,16976,80.9567,209.6932,0.2453,0.817913095,0.457286432,0.084810648,central,0,1.277777778,0
