pcode,N damaged,P damaged,N houses,Wind speed,Distance to typhoon,Poverty incidence,p strong roof,p strong wall,Experience,Region
PH013306000,1,0.000111275,8986.749801,40,202.5835465,0.1209,0.97889355,0.791426324,3.210526316,north luzon
PH071201000,1,0.000379507,2634.999996,60,85.76089149,0.1594,0.917327766,0.591231733,1,central
PH071209000,10,0.001467298,6815.250001,50,135.9619425,0.4545,0.78459441,0.428936605,1,central
PH071220000,1,0.000278474,3590.99997,60,96.61243323,0.306,0.977943461,0.65268717,1,central
PH071221000,1,0.000223764,4468.999977,50,116.6374402,0.2961,0.91275,0.6345,1,central
PH071226000,10,0.001292198,7738.749987,50,144.9371998,0.435,0.730344076,0.416783435,1,central
PH071228000,1,0.00023965,4172.750004,60,85.68286666,0.193,0.838483146,0.566535654,1,central
PH071230000,1,9.29E-05,10758.50008,60,96.78203639,0.2198,0.950403226,0.528516727,1,central
PH071243000,1,5.97E-05,16742.24955,50,148.6344332,0.3635,0.805493274,0.549467489,1,central
PH072202000,17,0.004004947,4244.749999,70,68.42341353,0.2453,0.817913095,0.457286432,1.277777778,central
PH072203000,44,0.007553648,5825.000001,70.18408094,67.45027195,0.3995,0.78449144,0.359025961,1.277777778,central
PH072205000,1,5.53E-05,18091.50015,62.11651143,92.8440723,0.2474,0.939226854,0.548897237,1.277777778,central
PH072207000,14,0.001477105,9478.000003,68.97198108,79.71816465,0.3832,0.848499634,0.488536585,1.277777778,central
PH072212000,21,0.005139501,4086,77.61909346,60.429163,0.3363,0.867581271,0.364449746,1.277777778,central
PH072222000,35,0.002074166,16874.25,70,78.23926406,0.4232,0.975529379,0.520468246,1.277777778,central
PH072225000,56,0.014071236,3979.75,80,49.42387718,0.4047,0.784907903,0.409090909,1.277777778,central
PH072229000,23,0.004748877,4843.25,79.12441546,57.94846241,0.3713,0.777688818,0.284227382,1.277777778,central
PH072235000,54,0.007743878,6973.250001,81.728874,48.19520161,0.4042,0.901271754,0.462863834,1.277777778,central
PH072240000,92,0.017621145,5221,85.42632287,41.37067895,0.3174,0.767467735,0.416555407,1.277777778,central
PH072241000,1,6.04E-05,16570.00005,50,125.538179,0.2065,0.923715109,0.60219363,1.277777778,central
PH072245000,65,0.014560116,4464.249999,90,35.10460488,0.2792,0.806823529,0.475058824,1.277777778,central
PH072246000,1,8.30E-05,12046.49998,59.28649588,104.9548739,0.2568,0.936700939,0.444702727,1.277777778,central
PH076101000,2,0.001310616,1526,99.38303289,32.35139781,0.1977,0.883594282,0.459496256,1,central
PH076102000,38,0.010977107,3461.750001,102.0630877,28.80818213,0.0781,0.919753086,0.510721248,1,central
PH076103000,100,0.019521718,5122.499999,113.8612463,19.02312861,0.2863,0.915216957,0.460107978,1,central
PH076104000,66,0.019091698,3457,107.2825953,25.13775758,0.254,0.891497462,0.487944162,1,central
PH076105000,46,0.012387236,3713.499999,119.9152463,15.92376057,0.3139,0.868980963,0.651175812,1,central
PH076106000,51,0.007594654,6715.250002,111.1651873,20.7305419,0.186,0.911963528,0.644137064,1,central
PH101301000,46,0.005358807,8584,118.3885912,13.14034194,0.4616,0.962682603,0.280478088,1,minandao
PH101303000,1,0.000168613,5930.750042,80,61.19404265,0.3967,0.977338757,0.470462909,1,minandao
PH101305000,121,0.01011304,11964.75,107.6137988,22.44038834,0.585,0.938976782,0.355352373,1,minandao
PH101310000,3,0.00019425,15443.99994,117.4795324,17.19482737,0.4896,0.962246417,0.396020992,1,minandao
PH101311000,23,0.002092383,10992.25,120.7215712,2.320902237,0.3717,0.94818026,0.318580502,1,minandao
PH101313000,257,0.042039832,6113.249999,103.8560587,26.70536231,0.6534,0.907519099,0.244270205,1,minandao
PH101314000,30,0.001197485,25052.49998,120.6051892,8.645972034,0.3395,0.952448545,0.474142418,1,minandao
PH101318000,140,0.009975418,14034.5,112.8329682,22.45455682,0.6319,0.81197206,0.201754386,1,minandao
PH101319000,26,0.003759942,6915.000001,127.6647287,2.304591041,0.451,0.963397043,0.495852867,1,minandao
