"disaster_type","disaster_name","pcode","Completely.damaged..abs..","Partly.damaged..abs..","Total.damaged.houses..abs..","total_damage_houses_0p25weight","Partly.damaged..rel..","Completely.damaged..rel..","Total.damaged.houses..rel..","total_damage_houses_0p25weight_perc","ratio_comp_part","Total...of.houses","Wind.speed","Distance.to.typhoon","rainfall","distance_first_impact","Slope","Elevation","ruggedness_stdev","Ruggedness","slope_stdev","Population","land_area","Population.density","Poverty.incidence","X..strong.roof.type","X..strong.wall.type","X..skilled.Agriculture.Forestry.Fishermen","Region","prov","Experience","Prop.Completely.Damaged","Prop.Damaged","td.residual"
"Typhoon","Kalmaegi","PH021524000",1,16,17,5,1.540683678,0.09629273,1.636976408,0.481463649,0.431495168,1038.5,62.83228718,62.09566472,124.8,152.144389,17.37406897,274.8571843,41.8108161,85.7944718,9.015033062,4154,98.7186,42.0795,0.1748,0.691836735,0.717346939,0.103755417,"north luzon","0",3.216216216,0.0588235294836332,0.01636976408,-0.105383519899172
"Typhoon","Haiyan","PH082610000",1655,337,1992,1739.25,15.72378397,77.21917648,92.94296046,81.15012248,4.677121913,2143.25,112.7072508,50.55231684,296.0012054,72.68040824,5.594387701,95.91010101,19.68050494,28.35114614,4.343749728,8559,61.3416,139.5317,0.5266,0.94,0.263157895,0.154554998,"central","0",1.545454545,0.830823293101718,0.9294296046,0.545546360361193
"Typhoon","Bopha","PH160206000",3,10,13,5.5,0.214373761,0.064312128,0.278685889,0.117905568,0.876428792,4664.749997,50,148.2767293,327,224.6013872,13.21990276,441.5162656,38.06000267,65.13466217,8.115822864,18653,178.6644,104.4027,0.4003,0.645698657,0.4082546,0.115011523,"minandao","0",1,0.230769229941169,0.00278685889,-0.0401683592397044
"Typhoon","Koppu","PH036907000",3,40,43,13,0.249933611,0.018745021,0.268678632,0.081228424,0.815039304,16004.25001,63.72057918,79.21866202,322.4,127.1116215,0.525435959,21.43455384,1.689606215,3.934073015,0.309251405,64017,132.5741,482.8779,0.0643,0.945542412,0.844220382,0.264997585,"north luzon","0",1.64,0.0697674424663589,0.00268678632,-0.0388342582911797
"Typhoon","Sarika","PH021522000",12,940,952,247,15.32129905,0.195591052,15.5168901,4.025915814,0.073253425,6135.250001,40,275.7603504,126.24,299.2943454,6.734285507,60.99196423,30.14034641,35.20324442,6.454091782,24541,158.7094,154.6283,0.1723,0.779048981,0.813728995,0.103011287,"north luzon","0",3.216216216,0.0126050420373861,0.155168901,0.137516769133689
"Typhoon","Haima","PH025706000",1,110,111,28.5,1.873616079,0.017032873,1.890648952,0.485436893,0.353920929,5871.000001,50,182.9625322,397.2,182.8207799,17.7861123,754.4225651,45.35073504,88.47906855,9.355994842,23484,1376.556,17.06,0.262,0.948251176,0.398078103,0.191619826,"north luzon","0",3,0.00900900877552228,0.01890648952,-0.000332652062949433
"Typhoon","Haima","PH012817000",17,236,253,76,3.25741891,0.234644582,3.492063492,1.04899931,0.289998379,7245,112.4852827,11.31713303,194.4,180.0385715,6.15634358,193.9217104,25.49462402,30.67021958,5.540012438,28980,201.3574,143.9251,0.1275,0.936655799,0.851731098,0.128329883,"north luzon","0",3.262295082,0.0671936757557672,0.03492063492,-0.148754523201826
"Typhoon","Hagupit","PH086407000",1,4,5,2,0.018700327,0.004675082,0.023375409,0.009350164,0.986232217,21390.00006,40,189.9107561,116.64,200.4830963,8.887120613,243.0446534,27.659961,46.94290916,6.171026322,85572,250.8088,341.187,0.2938,0.912205914,0.606356572,0.072417017,"central","0",1,0.200000008556,0.00023375409,-0.0193274419870769
"Typhoon","Nock-Ten","PH175201000",466,2399,2865,1065.75,25.78530163,5.008733038,30.79403466,11.45505844,0.224329489,9303.750001,70.70282286,45.68270276,215.1272727,363.6029161,19.07572993,866.5686737,62.01688543,95.14860018,12.37117059,37225,146.9011,253.4022,0.2276,0.713385063,0.610208535,0.111514174,"metro luzon","0",2.304347826,0.162652705087265,0.3079403466,0.285904524698756
"Typhoon","Rammasun","PH045630000",213,4735,4948,1396.75,25.24559135,1.135651733,26.38124309,7.447049571,0.081371828,18755.75,133.8648236,5.362413963,259.2,284.1113513,5.684057679,86.45405586,30.87658418,30.37625871,6.362918334,75035,203.9004,368.0055,0.1209,0.9269617,0.688091068,0.046878957,"metro luzon","0",1.72,0.0430476960136301,0.2638124309,-0.0667416240185328
