OBJECTID,Reg_Code,Reg_Name,Pro_Code,Pro_Name,Mun_Code,Mun_Name,Shape_Leng,Shape_Area,area,population,N_data,N_data_1,Wind_Speed
1462,PH160000000,REGION XIII (Caraga),PH160300000,AGUSAN DEL SUR,PH160306000,PROSPERIDAD (Capital),0.984112495,0.040404026,497.8180072,33068.09162,1,,5.11191
1463,PH160000000,REGION XIII (Caraga),PH160300000,AGUSAN DEL SUR,PH160307000,ROSARIO,0.925609518,0.032067973,395.1094966,26245.56935,1,,5.539318
1464,PH160000000,REGION XIII (Caraga),PH160300000,AGUSAN DEL SUR,PH160308000,SAN FRANCISCO,0.873357569,0.028993072,357.2236455,23728.96132,1,,4.849135
1417,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156603000,KALINGALAN CALUANG,0.892316073,0.005369131,66.15306441,30973.32942,0,,12.543574
1418,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156604000,LUUK,0.693916834,0.006930336,85.38867183,39979.57593,0,,11.955733
1419,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156605000,MAIMBUNG,0.518385302,0.003676782,45.30163225,21210.54242,0,,9.375186
1420,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156606000,HADJI PANGLIMA TAHIL (MARUNGGAS),2.404691535,0.002474063,30.48292493,14272.31957,0,,10.797647
1421,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156607000,OLD PANAMAO,0.59771545,0.005247344,64.65252407,30270.76589,0,,10.786804
1422,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156608000,PANGUTARAN,4.708636194,0.015512527,191.1298439,89488.33545,0,,16.761054
1423,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156609000,PARANG,0.491400077,0.005620073,69.24492522,32420.96037,0,,11.165984
1424,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156610000,PATA,1.266788279,0.00473398,58.32736462,27309.28181,0,,13.269413
1409,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH153800000,MAGUINDANAO,PH153832000,MANGUDADATU,0.664439248,0.007547171,92.98868946,18170.01954,0,,3.84904
1410,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH153800000,MAGUINDANAO,PH153833000,PANDAG,0.36520426,0.003652458,45.00193489,8793.392412,0,,3.186132
1411,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH153800000,MAGUINDANAO,PH153834000,NORTHERN KABUNTALAN,0.564670929,0.009268654,114.1990848,22314.53755,0,,3.243325
1412,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH153800000,MAGUINDANAO,PH153835000,DATU HOFFER AMPATUAN,0.493137187,0.004019167,49.52015106,9676.25329,0,,4.363216
1413,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH153800000,MAGUINDANAO,PH153836000,DATU SALIBO,0.307475991,0.002405286,29.63553041,5790.792081,0,,2.057684
1414,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH153800000,MAGUINDANAO,PH153837000,SHARIFF SAYDONA MUSTAPHA,0.705996182,0.004575431,56.37388498,11015.47508,0,,2.528568
1415,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156601000,INDANAN,0.542519046,0.008422756,103.7767804,48589.01751,0,,9.292519
1416,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156602000,JOLO (Capital),0.139224423,0.000245191,3.020998311,1414.452629,0,,8.533534
1433,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156619000,OMAR,1.035164689,0.007028799,86.60183753,40547.58863,0,,12.492503
1434,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH157000000,TAWI-TAWI,PH157001000,PANGLIMA SUGALA (BALIMBING),2.946090991,0.019081837,235.1073079,69589.77481,0,,15.352414
1435,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH157000000,TAWI-TAWI,PH157002000,BONGAO (Capital),1.660580311,0.009958261,122.6957287,36316.89805,0,,14.694773
1436,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH157000000,TAWI-TAWI,PH157003000,MAPUN (CAGAYAN DE TAWI-TAWI),1.076026567,0.005756247,70.92271534,20992.52394,0,,16.294681
1437,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH157000000,TAWI-TAWI,PH157004000,SIMUNUL,0.698644939,0.004596832,56.6375619,16764.23933,0,,14.521618
1438,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH157000000,TAWI-TAWI,PH157005000,SITANGKAI,1.080529295,0.002270758,27.97800476,8281.252796,0,,13.285489
1439,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH157000000,TAWI-TAWI,PH157006000,SOUTH UBIAN,1.283341992,0.002584609,31.84496798,9425.841207,0,,19.162755
1440,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH157000000,TAWI-TAWI,PH157007000,TANDUBAS,3.508610499,0.018000876,221.7887874,65647.60538,0,,17.868099
1425,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156611000,PATIKUL,0.632388069,0.011443237,140.9921218,66013.50179,0,,9.316192
1426,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156612000,SIASI,1.681051229,0.006786353,83.61465396,39148.9683,0,,19.493794
1427,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156613000,TALIPAO,1.041025186,0.013895454,171.2058868,80159.79875,0,,9.822964
1428,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156614000,TAPUL,1.006230189,0.004594883,56.61355936,26506.86615,0,,15.91809
1429,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156615000,TONGKIL,2.652398199,0.010461471,128.8957825,60349.91073,0,,13.072406
1430,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156616000,PANGLIMA ESTINO (NEW PANAMAO),0.54982997,0.002731992,33.66087676,15760.25894,0,,10.527233
1431,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156617000,LUGUS,0.371872668,0.003002939,36.99920748,17323.28883,0,,18.55657
1432,PH150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),PH156600000,SULU,PH156618000,PANDAMI,1.608444981,0.005614408,69.17512294,32388.27845,0,,19.385004
1513,PH160000000,REGION XIII (Caraga),PH168500000,DINAGAT ISLANDS,PH168503000,DINAGAT,0.791059299,0.0023056,28.40729243,3620.748447,1,,22.841888
1514,PH160000000,REGION XIII (Caraga),PH168500000,DINAGAT ISLANDS,PH168504000,LIBJO (ALBOR),1.259150455,0.015402788,189.7777535,24188.77154,0,,24.114518
1515,PH160000000,REGION XIII (Caraga),PH168500000,DINAGAT ISLANDS,PH168505000,LORETO,1.127579375,0.01418089,174.722745,22269.88401,1,,23.820478
1516,PH160000000,REGION XIII (Caraga),PH168500000,DINAGAT ISLANDS,PH168506000,SAN JOSE (Capital),0.353578573,0.002662149,32.80033536,4180.678734,0,,23.593624
1517,PH160000000,REGION XIII (Caraga),PH168500000,DINAGAT ISLANDS,PH168507000,TUBAJON,0.568010221,0.007307856,90.04009476,11476.3677,0,,23.981873
1518,PH170000000,REGION IV-B (MIMAROPA),PH174000000,MARINDUQUE,PH174001000,BOAC (Capital),0.751205761,0.019295406,237.7386987,51774.02417,3,,42.603352
1519,PH170000000,REGION IV-B (MIMAROPA),PH174000000,MARINDUQUE,PH174002000,BUENAVISTA,0.405617404,0.006396926,78.81652167,17164.42683,3,,46.351747
1520,PH170000000,REGION IV-B (MIMAROPA),PH174000000,MARINDUQUE,PH174003000,GASAN,0.518649812,0.008290313,102.1449439,22244.82099,3,,43.406645
1505,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166814000,MARIHATAG,0.734022233,0.016093209,198.2844222,19906.90765,1,,11.031086
1506,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166815000,SAN AGUSTIN,0.473475622,0.007450326,91.79546332,9215.87178,1,,11.434887
1507,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166816000,SAN MIGUEL,1.049618961,0.053708097,661.7374629,66435.6101,0,,4.621093
1508,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166817000,TAGBINA,0.755058013,0.029440078,362.7312009,36416.66066,1,,7.884248
1509,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166818000,TAGO,0.985646115,0.026352394,324.6878477,32597.27077,0,,7.778841
1510,PH160000000,REGION XIII (Caraga),PH166800000,SURIGAO DEL SUR,PH166819000,CITY OF TANDAG (Capital),0.646604982,0.014895734,183.5303368,18425.6606,1,,6.734436
