"OBJECTID","Reg_Code","Reg_Name","Pro_Code","Pro_Name","Mun_Code","Mun_Name","Shape_Leng","Shape_Area","area","population","N_data","N_data_1","Wind_Speed"
1,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012801000","ADAMS",0.42360391896,0.00950603858,117.123901344,18640.3630197,3,NA,13.3813145475502
2,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012802000","BACARRA",0.3091357311,0.00472509491,58.2178943861,9265.42467545,3,NA,46.675192449283
3,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012803000","BADOC",0.59929462278,0.00687978522,84.7658336956,13490.5505505,1,NA,17.5591021934287
4,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012804000","BANGUI",0.48291146545,0.00984290535,121.274436817,19300.9240756,5,NA,46.675192449283
5,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012805000","CITY OF BATAC",0.61349958714,0.01349271234,166.243708741,26457.8198396,3,NA,17.5591021934287
6,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012806000","BURGOS",0.50840066265,0.01172838041,144.505375032,22998.1465609,4,NA,46.675192449283
7,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012807000","CARASI",0.52642257361,0.01478150255,182.122892919,28985.004762,2,NA,13.3813145475502
8,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012808000","CURRIMAO",0.39736470652,0.00284737073,35.0824547643,5583.400868,1,NA,17.5591021934287
9,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012809000","DINGRAS",0.51264753087,0.00924884305,113.954995219,18136.0290633,3,NA,17.5591021934287
10,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012810000","DUMALNEG",0.37749067894,0.00570968637,70.3490457648,11196.107166,1,NA,13.3813145475502
11,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012811000","BANNA (ESPIRITU)",0.41261673027,0.00777340949,95.7761783263,15242.8557464,3,NA,17.5591021934287
12,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012812000","LAOAG CITY (Capital)",0.49867723858,0.00939939011,115.809885545,18431.2363493,3,NA,46.675192449283
13,"PH010000000","REGION I (ILOCOS REGION)","PH012800000","ILOCOS NORTE","PH012813000","MARCOS",0.43342119595,0.00677511464,83.4761874794,13285.3023188,3,NA,17.5591021934287
